date,open,high,low,close,volume,marketcap
2018-06-27,432.24,444.24,424.84,442.36,1368940032,44389430889
2018-06-26,460.73,461.21,432.77,432.77,1356560000,43417898248
2018-06-25,455.94,470.34,448.9,460.31,4007950080,46171165114
2018-06-24,474.77,475.36,426.47,457.67,2490579968,45897156207
2018-06-23,466.27,479.13,462.39,474.52,1651379968,47577076102
2018-06-22,527.19,527.19,456.88,465.82,2226030080,46694859628
2018-06-21,536.45,543.72,524.26,527.37,1462070016,52853921455
2018-06-20,538.51,541.02,519.37,536.27,1596290048,53735032875
2018-06-19,519.02,542.35,516.31,537.96,1726569984,53893191559
2018-06-18,499.38,521.8,494.07,518.89,1513869952,51972519171
2018-06-17,499.46,507.64,498.65,500.45,1264870016,50114921288
2018-06-16,490.41,503.22,488.85,499.64,1314109952,50024018701
2018-06-15,520.48,521.3,487.47,491.0,1808269952,49149084090
2018-06-14,478.38,523.54,467.47,519.74,2458650112,52015066663
2018-06-13,498.02,501.9,459.0,477.49,2080130048,47777150787
2018-06-12,532.71,538.96,491.23,496.84,1932760064,49702985162
2018-06-11,524.86,536.86,515.27,533.28,1982119936,53337466294
2018-06-10,594.34,594.34,511.89,526.48,2234880000,52645885461
2018-06-09,600.91,608.58,597.56,597.56,1519309952,59741701633
2018-06-08,605.44,608.81,595.59,601.08,1637779968,60080608858
2018-06-07,607.69,616.14,601.69,605.19,1880140032,60478879395
2018-06-06,610.26,611.64,596.4,607.12,1756530048,60659842641
2018-06-05,593.41,611.33,580.98,609.3,1844269952,60864980395
2018-06-04,619.44,623.43,583.75,592.98,1903430016,59222873880
2018-06-03,591.26,624.51,591.26,618.33,1832550016,61740821846
2018-06-02,580.43,597.08,577.32,591.81,1880390016,59080880117
2018-06-01,578.67,589.09,567.66,580.04,1945890048,57894350583
2018-05-31,558.5,585.54,557.07,577.65,1985040000,57643138807
2018-05-30,566.83,583.14,545.43,559.59,2053970048,55829809817
2018-05-29,516.15,572.26,516.15,565.39,2330820096,56396587656
2018-05-28,573.04,576.05,512.55,516.04,2356900096,51463146627
2018-05-27,588.52,590.33,562.87,572.67,1788790016,57099072056
2018-05-26,587.43,606.17,583.51,587.28,1694300032,58544016481
2018-05-25,602.14,617.19,575.62,586.73,2110919936,58477440268
2018-05-24,584.54,610.82,557.21,601.76,2791099904,59962094302
2018-05-23,646.67,651.64,572.95,583.59,2995429888,58139666822
2018-05-22,700.18,700.98,644.03,647.74,2230469888,64517663406
2018-05-21,717.19,719.28,692.49,699.22,2005170048,69631032596
2018-05-20,697.92,723.75,692.67,715.37,2156910080,71224213260
2018-05-19,695.07,715.58,686.79,696.53,2021549952,69334147807
2018-05-18,672.1,695.03,663.81,694.37,2305740032,69104455849
2018-05-17,708.72,718.83,668.83,672.66,2350619904,66929938612
2018-05-16,708.09,710.2,682.54,707.05,2476130048,70337446111
2018-05-15,731.14,739.05,700.99,708.87,2523069952,70504110201
